"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"	"Avg_Min"	"Avg_Q05"	"Avg_Q25"	"Avg_Max"
4	"q"	737	756	19	8	121497417	142182745	"q27"	"q31.21"	0.0110128515213792	0.0374706136895368	0.085813844690056	0.325968547951818
4	"q"	747	766	19	9	132550017	152548400	"q28.3"	"q31.3"	0.00883892268370759	0.0357824246386146	0.0806912393447647	0.322513508864826
4	"q"	757	776	19	10	143689171	166022098	"q31.21"	"q32.3"	0.00974984038487622	0.0367769103640521	0.0841490168935596	0.348550888229093
4	"q"	767	786	19	11	152744745	176245828	"q31.3"	"q34.1"	0.0105771982701333	0.0384349415329894	0.0914220918567388	0.36341703280021
4	"q"	777	799	22	12	166521693	190284043	"q32.3"	"q35.2"	0.00814983441988964	0.0357498675033788	0.0823099648387323	0.431049309268354
5	"p"	800	819	19	1	2518762	16627325	"p15.33"	"p15.1"	0.0114351829967263	0.0379126945189896	0.0850183224963695	0.367551586150626
5	"p"	810	829	19	2	10307620	31292180	"p15.2"	"p13.3"	0.0109056320538597	0.0372584523368749	0.085315380930309	0.428639831263722
5	"p"	820	840	20	3	19608109	42861888	"p14.3"	"p12"	0.00926107802728812	0.0371637828610656	0.0843608095200362	0.406928793149033
5	"q"	841	860	19	1	49873025	67288159	"q11.1"	"q13.1"	0.00970611264281369	0.0363300740297688	0.0857668116000264	0.500533911786425
5	"q"	851	870	19	2	59305148	80010729	"q12.1"	"q14.1"	0.00933023002642459	0.0334293372070655	0.0764976028226327	0.358782839700373
5	"q"	861	880	19	3	71625032	94503035	"q13.2"	"q15"	0.0098531877043298	0.0351250883034718	0.0810984958986018	0.342457718795396
5	"q"	871	890	19	4	81211273	107989292	"q14.1"	"q21.3"	0.00915451951492056	0.035216532327848	0.0819632871372925	0.351580113272062
5	"q"	881	900	19	5	95817382	118954363	"q15"	"q23.1"	0.00809447443946189	0.0323437808704939	0.0728629579781691	0.304654336203328
5	"q"	891	910	19	6	109322974	129522360	"q21.3"	"q23.3"	0.00986948770570667	0.0350245834047922	0.0792855321525053	0.412537965995827
5	"q"	901	920	19	7	119641936	136337622	"q23.1"	"q31.2"	0.0103929195651887	0.0407282320727871	0.0919965258031967	0.456189580019007
5	"q"	911	930	19	8	130288002	145171748	"q23.3"	"q32"	0.0097147740012215	0.0340939889958783	0.075742893340586	0.341896294184188
5	"q"	921	940	19	9	136865228	152838083	"q31.2"	"q33.2"	0.00787992435352613	0.0302335138583758	0.0702693462851116	0.292807769590977
5	"q"	931	950	19	10	146334151	165746145	"q32"	"q34"	0.0102084770451851	0.0353357951414135	0.0809599186376566	0.491268907569434
5	"q"	941	962	21	11	154437557	178312004	"q33.2"	"q35.3"	0.0083631327223415	0.0334015999050618	0.0800980585318232	0.522549691226291
6	"p"	963	982	19	1	1297036	20523819	"p25.3"	"p22.3"	0.0102335421100834	0.0344719930106442	0.0802111681925544	0.344019036728086
6	"p"	973	992	19	2	11374225	29214068	"p24.2"	"p22.1"	0.00828203212659258	0.0329101013574187	0.0765836198941075	0.304740134313604
6	"p"	983	1002	19	3	21405056	39870200	"p22.3"	"p21.2"	0.00834112461041548	0.0325040730013254	0.0726639818841372	0.289521075598818
6	"p"	993	1021	28	4	31924988	58503276	"p21.33"	"p11.2"	0.00538558353176853	0.0311238963333907	0.0713029922331155	0.326640634351631
6	"q"	1022	1041	19	1	62529446	85978952	"q11.1"	"q14.3"	0.0104715405667832	0.0367269244158847	0.0822045767994632	0.353224577754402
6	"q"	1032	1051	19	2	73038504	99279159	"q13"	"q16.1"	0.00847691236787417	0.0364560073994692	0.0832695988863627	0.331985533119178
6	"q"	1042	1061	19	3	88230325	107920781	"q15"	"q21"	0.0104338081518008	0.0389172928689102	0.0889308384281637	0.423846476960371
6	"q"	1052	1071	19	4	99790429	117809698	"q16.2"	"q22.1"	0.01027475648003	0.0396968219396089	0.0920938015264572	0.405841542651057
6	"q"	1062	1081	19	5	108419267	128407926	"q21"	"q22.33"	0.0103242032687759	0.0370968963394487	0.0862139009975406	0.37093908144038
6	"q"	1072	1091	19	6	118570556	139914841	"q22.31"	"q24.1"	0.00973772320109885	0.0361767039131351	0.0832704018797641	0.350856112729795
6	"q"	1082	1101	19	7	129623695	151401982	"q22.33"	"q25.1"	0.00885768588489486	0.0345482650481389	0.0812038549130112	0.354229322025397
6	"q"	1092	1111	19	8	141083856	158806582	"q24.1"	"q25.3"	0.00966707367182079	0.0350243210089095	0.0805289765567945	0.355084225816429
6	"q"	1102	1121	19	9	152053838	169747290	"q25.1"	"q27"	0.0104110882839585	0.0382960178729922	0.0863224210286797	0.369630699107827
7	"p"	1122	1141	19	1	1646315	21622750	"p22.3"	"p15.3"	0.0104534190286853	0.0372722975859316	0.0855310158226661	0.38397106486341
7	"p"	1132	1151	19	2	11807386	36202604	"p21.3"	"p14.2"	0.0121055119328112	0.0374192460990758	0.0880653172207723	0.361535100368722
7	"p"	1142	1170	28	3	24524124	56672964	"p15.3"	"p11.2"	0.00816089228042335	0.038886637819512	0.0910771604435908	0.530288485530071
7	"q"	1171	1190	19	1	62689176	79702216	"q11.21"	"q21.11"	0.0108651702230326	0.0414639964198662	0.0969886508400614	0.390947547111083
7	"q"	1181	1200	19	2	71507839	88152523	"q11.22"	"q21.12"	0.0100589614090837	0.0409748483024435	0.0936526533980969	0.388768278466917
7	"q"	1191	1210	19	3	81600243	98946495	"q21.11"	"q22.1"	0.0103144858191344	0.0380329203622895	0.0840139637620704	0.402537158383794
7	"q"	1201	1220	19	4	88834393	107685164	"q21.13"	"q31.1"	0.0118146191926829	0.0415384661773806	0.0935782449469253	0.421799427970365
7	"q"	1211	1230	19	5	99531504	118201933	"q22.1"	"q31.31"	0.0101353020383176	0.0385368590702371	0.0870122115562802	0.377334997278547
7	"q"	1221	1240	19	6	108130860	128624043	"q31.1"	"q32.1"	0.00979858076735705	0.0334080477559472	0.0782342931131957	0.324158550815962
7	"q"	1231	1250	19	7	118843084	136956770	"q31.31"	"q33"	0.00908189044769594	0.031799200076218	0.0758816868935777	0.308208639776736
7	"q"	1241	1260	19	8	129452491	146329761	"q32.2"	"q35"	0.0101824447631045	0.0345249374530764	0.0825071988222587	0.373736189319297
7	"q"	1251	1277	26	9	137034599	157857901	"q33"	"q36.3"	0.00738217591010006	0.0390939013913371	0.0921545959283424	0.456544533423399
8	"p"	1278	1297	19	1	488653	17738273	"p23.3"	"p22"	0.0127409246858278	0.0474127379039937	0.111389142580748	0.495271034055491
8	"p"	1288	1307	19	2	7992614	29699950	"p23.1"	"p12"	0.0118581028170028	0.0422929797825608	0.0974024590391862	0.417991466448174
8	"p"	1298	1323	25	3	18206046	43197654	"p22"	"p11.1"	0.0105863692010892	0.0435113664801742	0.105922015949652	0.614499076224449
8	"q"	1324	1343	19	1	47698453	64304418	"q11.1"	"q12.3"	0.00959936993673169	0.0359961341874091	0.0874479368710358	0.449476874075474
8	"q"	1334	1353	19	2	55343291	73560678	"q11.23"	"q13.3"	0.0106720850077228	0.0393772491531796	0.0951752662938661	0.523504446969699
8	"q"	1344	1363	19	3	65216296	82461173	"q12.3"	"q21.13"	0.0130710107021961	0.046831382990244	0.111917272113348	0.59088283110233
8	"q"	1354	1373	19	4	75411898	95910661	"q21.11"	"q22.1"	0.0129195870457026	0.0479220004702992	0.113692283866949	0.592816354117048
8	"q"	1364	1383	19	5	84216776	105934497	"q21.13"	"q22.3"	0.0104407631576188	0.0402437080712481	0.092933625589283	0.431783136072109
8	"q"	1374	1393	19	6	97704933	117215694	"q22.1"	"q23.3"	0.0114878403006246	0.042587404800114	0.101173600230371	0.507074561525482
8	"q"	1384	1403	19	7	107752315	128667455	"q23.1"	"q24.21"	0.0124110011488487	0.0479436211387912	0.117070165915348	0.750843683572801
8	"q"	1394	1416	22	8	118228903	145613007	"q24.11"	"q24.3"	0.0100855062854429	0.0466324161844304	0.114800221998491	0.75368058581744
9	"p"	1417	1436	19	1	1002152	16152186	"p24.3"	"p22.3"	0.0168806927410846	0.0576990990415073	0.13344035579985	0.568320063447327
9	"p"	1427	1446	19	2	9668611	24101721	"p23"	"p21.3"	0.0179840369534517	0.062450179011064	0.146976282141779	0.837343175703633
9	"p"	1437	1456	19	3	16998010	32452267	"p22.2"	"p21.1"	0.0175763230429312	0.0654762889137774	0.156184776272184	0.902296339668145
9	"p"	1447	1468	21	4	24888888	46791316	"p21.3"	"p11.2"	0.0110701046333143	0.0491055992491026	0.120193239506394	0.638568138041471
9	"q"	1469	1488	19	1	67516297	86102092	"q13"	"q21.32"	0.0179130941328378	0.0624132416807234	0.150501857564936	0.849706839474036
9	"q"	1479	1498	19	2	78861659	91415512	"q21.13"	"q22.1"	0.0163185549491978	0.0633276451888604	0.145002591309114	0.798703135641457
9	"q"	1489	1508	19	3	86991741	98981704	"q21.33"	"q22.32"	0.0137030302697393	0.0541253592077254	0.129509636135785	0.660757740337563
9	"q"	1499	1518	19	4	92847611	106175452	"q22.2"	"q31.1"	0.0155908045654263	0.0542303312536055	0.131226485963237	0.76613129223926
9	"q"	1509	1528	19	5	100042032	114652483	"q22.33"	"q31.3"	0.0162265565316863	0.0606770697209597	0.143752591005008	0.775657451168507
9	"q"	1519	1538	19	6	106545018	121037606	"q31.1"	"q33.1"	0.0141834811617579	0.057835054935174	0.141645620208939	0.711298180941509
9	"q"	1529	1548	19	7	115462209	128193295	"q32"	"q33.3"	0.0155738875298415	0.0574009368230368	0.138654437503202	0.662571853533217
9	"q"	1539	1559	20	8	121874735	137973287	"q33.1"	"q34.3"	0.0160138277443268	0.0570012696928554	0.134259824769419	0.636883601181022
10	"p"	1560	1579	19	1	1217029	19986417	"p15.3"	"p12.31"	0.0109542299164731	0.0376724714444215	0.0871356378344112	0.353098516228037
10	"p"	1570	1589	19	2	10915523	28946018	"p14"	"p12.1"	0.00965672490121701	0.0335762729957961	0.0771536766888523	0.32660772323747
10	"p"	1580	1600	20	3	20522279	38562688	"p12.31"	"p11.1"	0.00768494289317878	0.0321659165029734	0.0743314539356888	0.334300159882446
10	"q"	1601	1620	19	1	43341888	63184049	"q11.21"	"q21.2"	0.0115448366310927	0.0444223478357776	0.100647847668362	0.513946750079717
10	"q"	1611	1630	19	2	54243337	74164328	"q21.1"	"q22.1"	0.00988899394190314	0.0371903813257128	0.0852367452733668	0.364370475565772
10	"q"	1621	1640	19	3	64111493	82490215	"q21.2"	"q23.1"	0.00996280495245318	0.0374453603644785	0.0869801544264917	0.366695246289783
10	"q"	1631	1650	19	4	75284694	90607464	"q22.2"	"q23.31"	0.00824013848162186	0.0364673240453161	0.0842285936194702	0.378811881366656
10	"q"	1641	1660	19	5	83646484	100952271	"q23.1"	"q24.2"	0.00913652482565901	0.0312728789575803	0.0755627433473798	0.335661947999439
10	"q"	1651	1670	19	6	91326292	111508658	"q23.31"	"q25.1"	0.00842511871048728	0.0347431536026664	0.0790943462227296	0.318510715356682
10	"q"	1661	1680	19	7	101712730	120370659	"q24.2"	"q26.11"	0.0106443042492941	0.0355467946126674	0.0829491757192174	0.313246416140261
10	"q"	1671	1697	26	8	112361447	135221600	"q25.2"	"q26.3"	0.00825936370842018	0.0382264023005799	0.0885484037708106	0.383581121741444
11	"p"	1698	1717	19	1	1629862	18139630	"p15.5"	"p15.1"	0.00913360792486343	0.0381753275241205	0.0870306563054302	0.381701174432776
11	"p"	1708	1727	19	2	9709739	30606866	"p15.4"	"p14.1"	0.0119573314250232	0.0404074229543558	0.0949892391542588	0.404025352294537
11	"p"	1718	1737	19	3	18585995	35190778	"p15.1"	"p13"	0.0103800280010833	0.0384424402424928	0.0873600181544038	0.359054504823774
11	"p"	1728	1752	24	4	30708700	51439293	"p14.1"	"p11.12"	0.00857955223848654	0.0396902408010922	0.0914282034631784	0.414333406724755
11	"q"	1753	1772	19	1	55083762	70559975	"q11"	"q13.4"	0.0118009422309941	0.04291236637548	0.100273163627349	0.486663058674488
11	"q"	1763	1782	19	2	64087480	78357714	"q13.1"	"q14.1"	0.0158310723525518	0.0511216158364847	0.124952632621863	0.629888926621702
11	"q"	1773	1792	19	3	70629079	87243850	"q13.4"	"q14.2"	0.0126190872725119	0.0509513666248479	0.126326887101991	0.706457749140818
11	"q"	1783	1802	19	4	78965063	96651471	"q14.1"	"q21"	0.0116535084485142	0.0423737827130332	0.104558747275839	0.607057184667458
11	"q"	1793	1812	19	5	91264719	104299413	"q14.3"	"q22.3"	0.0107761364649075	0.0417310827440393	0.0986429094727246	0.553745413876153
11	"q"	1803	1822	19	6	97598601	114236228	"q22.1"	"q23.2"	0.0114782044919479	0.0399106865683054	0.0926553828479195	0.516329140643339
11	"q"	1813	1832	19	7	105445897	122620172	"q22.3"	"q24.1"	0.0100490820797349	0.0366065232382993	0.0827435142563268	0.382664938636154
11	"q"	1823	1845	22	8	115319527	134479818	"q23.3"	"q25"	0.0097831942680569	0.038941617133337	0.0919346804595012	0.409405037831405
12	"p"	1846	1865	19	1	282273	18609593	"p13.33"	"p12.3"	0.0138650839983475	0.0452029268892185	0.104192084882614	0.450524878723157
12	"p"	1856	1881	25	2	8027871	33280286	"p13.31"	"p11.21"	0.0070706501409213	0.0375026460454777	0.092527733668689	0.453768699785724
12	"q"	1882	1901	19	1	38914690	53207103	"q12"	"q13.13"	0.010449129868403	0.0353289500624712	0.0823228467635899	0.318458441390666
12	"q"	1892	1911	19	2	47577091	61925893	"q13.11"	"q14.1"	0.0107063883336926	0.0388309785938065	0.092237923418877	0.381924747859142
12	"q"	1902	1921	19	3	53460231	74781532	"q13.13"	"q21.1"	0.00918986094254694	0.0384447465390274	0.0914747806724336	0.443078412953633
12	"q"	1912	1931	19	4	64567977	83465375	"q14.2"	"q21.31"	0.0105862836680009	0.038230725304451	0.0956240826266305	0.460936174293707
12	"q"	1922	1941	19	5	74908274	94471863	"q21.1"	"q22"	0.0104880810704916	0.0402300790843195	0.093041437116705	0.489389814401776
12	"q"	1932	1951	19	6	84167850	102067275	"q21.31"	"q23.2"	0.0102991681121047	0.0411642458957874	0.097120597607239	0.400643797427111
12	"q"	1942	1961	19	7	94523046	110678166	"q22"	"q24.11"	0.00868578309037548	0.033089622178912	0.0828478388383182	0.344223695263171
12	"q"	1952	1971	19	8	102957740	119576146	"q23.2"	"q24.23"	0.0107197587707938	0.0389126318074919	0.0912379887011058	0.497620732091339
12	"q"	1962	1986	24	9	111316270	133346391	"q24.11"	"q24.33"	0.0103941306711056	0.046175497688432	0.107764431974819	0.647074377141389
13	"q"	1987	2006	19	1	20238604	36012940	"q12.11"	"q13.3"	0.00927335045558905	0.0378586316024744	0.0873652107280319	0.359654195609272
13	"q"	1997	2016	19	2	28516250	46042385	"q12.2"	"q14.13"	0.00831464777602212	0.0307506600476334	0.0745609894994135	0.312698471967754
13	"q"	2007	2026	19	3	38319921	56818886	"q13.3"	"q21.1"	0.00843311361495127	0.0299754527909273	0.0705045333541128	0.281217693499997
13	"q"	2017	2036	19	4	48083033	68428774	"q14.2"	"q21.32"	0.0084487747645922	0.0315129666704286	0.0710463821073601	0.317338009813423
13	"q"	2027	2046	19	5	58732382	78892425	"q21.1"	"q22.3"	0.00981679388589568	0.0357696190952823	0.0794698634696108	0.362789930508024
13	"q"	2037	2056	19	6	69283809	89061550	"q21.33"	"q31.2"	0.00871279507453685	0.0316890599785411	0.0723637321178755	0.306996055997865
13	"q"	2047	2066	19	7	79057929	98471162	"q31.1"	"q32.2"	0.00897198040066762	0.0353693749432457	0.0783288542602141	0.312008202751481
13	"q"	2057	2081	24	8	89679237	113692428	"q31.2"	"q34"	0.00835057708591502	0.0367968848726867	0.0862863414656241	0.406355393263884
14	"q"	2082	2101	19	1	20501977	40300279	"q11.2"	"q21.1"	0.0113075804916329	0.0371132652188199	0.0840996389347269	0.333603468935393
14	"q"	2092	2111	19	2	31089528	50538326	"q12"	"q21.3"	0.00936690592439244	0.0334469695802719	0.0770949320948899	0.325024730303583
14	"q"	2102	2121	19	3	41294945	59254716	"q21.1"	"q23.1"	0.00849592509452702	0.0316735453678874	0.0764079256516075	0.319938367581253
14	"q"	2112	2131	19	4	51787549	68753875	"q22.1"	"q24.1"	0.00970397527621115	0.0350968118799446	0.0822865833317616	0.385930496621413
14	"q"	2122	2141	19	5	60267258	76141892	"q23.1"	"q24.3"	0.0117629398091577	0.0395004925105631	0.0911747074474788	0.395760726607417
14	"q"	2132	2151	19	6	69341229	84784824	"q24.1"	"q31.2"	0.0100533131153493	0.0357001716097695	0.080678116183051	0.330165888723258
14	"q"	2142	2161	19	7	76584595	94877177	"q24.3"	"q32.13"	0.0101211559765658	0.0360670040554244	0.0806527570443151	0.374661739470656
14	"q"	2152	2174	22	8	85099070	106197313	"q31.3"	"q32.33"	0.00877712203601887	0.0353796484896133	0.0798591122891414	0.3649198344747
15	"q"	2175	2194	19	1	22813353	43893914	"q11.2"	"q15.3"	0.0115503521608375	0.0430904701385106	0.0977986784468078	0.39158554955169
15	"q"	2185	2204	19	2	35106817	53948184	"q14"	"q21.3"	0.0104100402193025	0.0388949304089176	0.0882060311960684	0.345916595818941
15	"q"	2195	2214	19	3	44807380	64580851	"q21.1"	"q22.31"	0.0110749005612208	0.038560057477425	0.0910879336912976	0.36750865272795
15	"q"	2205	2224	19	4	54773298	70833282	"q21.3"	"q23"	0.00975102564298444	0.0350683595168083	0.0816308366881264	0.360339268037971
15	"q"	2215	2234	19	5	65284212	83070992	"q22.31"	"q25.2"	0.0104063196653855	0.0380234126744585	0.0876978477152094	0.345793885532499
15	"q"	2225	2252	27	6	72356454	101733816	"q23"	"q26.3"	0.00755025522476624	0.0409576436340944	0.0974772540296505	0.556342190275019
16	"p"	2253	2272	19	1	491053	20244797	"p13.3"	"p12.3"	0.0147424188253162	0.0511721579885827	0.117652614222218	0.60247422773504
16	"p"	2263	2283	20	2	9728105	31048088	"p13.2"	"p11.2"	0.0120464396951284	0.0451229313415223	0.106315005221828	0.424686313051814
16	"q"	2284	2303	19	1	46510743	63838775	"q11.2"	"q21"	0.0109158558428569	0.0400627093283063	0.0997740254856574	0.39768639740743
16	"q"	2294	2313	19	2	55869021	70133673	"q12.2"	"q22.1"	0.0102082775140604	0.0389797896982716	0.0971150917100912	0.423256451361557
16	"q"	2304	2323	19	3	64365187	77877733	"q21"	"q23.1"	0.0118324817421897	0.0424951677546089	0.0993657884717092	0.468963752197058
16	"q"	2314	2335	21	4	70607807	89894658	"q22.1"	"q24.3"	0.0115311461125382	0.0430360062628229	0.0971071171394614	0.4178175908892
17	"p"	2336	2355	19	1	856239	15381603	"p13.3"	"p12"	0.0099049524375541	0.0353666878334046	0.0838481338518365	0.320989149880099
